FATAL  | wrapper  | 2016/12/13 15:36:05 | OpenSCManager failed - 拒绝访问。 (0x5)
FATAL  | wrapper  | 2016/12/13 15:37:14 | OpenSCManager failed - 拒绝访问。 (0x5)
FATAL  | wrapper  | 2016/12/13 15:38:40 | OpenSCManager failed - 拒绝访问。 (0x5)
STATUS | wrapper  | 2016/12/13 15:38:49 | Goods Service installed.
STATUS | wrapper  | 2016/12/13 15:42:01 | --> Wrapper Started as Service
STATUS | wrapper  | 2016/12/13 15:42:01 | Launching a JVM...
INFO   | jvm 1    | 2016/12/13 15:42:02 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2016/12/13 15:42:02 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2016/12/13 15:42:02 | 
INFO   | jvm 1    | 2016/12/13 15:42:02 | WrapperSimpleApp: Unable to locate the class MyProject.schedule.QuartzTask: java.lang.ClassNotFoundException: MyProject.schedule.QuartzTask
INFO   | jvm 1    | 2016/12/13 15:42:02 | 
INFO   | jvm 1    | 2016/12/13 15:42:02 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2016/12/13 15:42:02 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class} [app_arguments]
INFO   | jvm 1    | 2016/12/13 15:42:02 | 
INFO   | jvm 1    | 2016/12/13 15:42:02 | Where:
INFO   | jvm 1    | 2016/12/13 15:42:02 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2016/12/13 15:42:02 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 1    | 2016/12/13 15:42:02 |                   application.
STATUS | wrapper  | 2016/12/13 15:42:04 | <-- Wrapper Stopped
STATUS | wrapper  | 2016/12/13 15:42:19 | Starting the Goods Service service...
STATUS | wrapper  | 2016/12/13 15:42:19 | --> Wrapper Started as Service
STATUS | wrapper  | 2016/12/13 15:42:19 | Launching a JVM...
INFO   | jvm 1    | 2016/12/13 15:42:19 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2016/12/13 15:42:19 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2016/12/13 15:42:19 | 
INFO   | jvm 1    | 2016/12/13 15:42:19 | WrapperSimpleApp: Unable to locate the class MyProject.schedule.QuartzTask: java.lang.ClassNotFoundException: MyProject.schedule.QuartzTask
INFO   | jvm 1    | 2016/12/13 15:42:19 | 
INFO   | jvm 1    | 2016/12/13 15:42:19 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2016/12/13 15:42:19 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class} [app_arguments]
